producto,marca,descripcion,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Gaseosa Sprite lima limón sin azúcar lata 354 cc.,Sprite,,https://www.carrefour.com.ar/gaseosa-sprite-lima-limon-sin-azucar-lata-354-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/275197/7790895064364_E01.jpg?v=1771409303,534206,11001,212.5,212.5
Espumante mini rosé Chandon 187 cc.,Chandon,,https://www.carrefour.com.ar/espumante-mini-rose-chandon-187-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/204641/7790975198958_01.jpg?v=1771456223,678055,45920,729.0,729.0
Vino tinto cabernet sauvignon Nampe 1.125 l.,Nampe,,https://www.carrefour.com.ar/vino-tinto-cabernet-sauvignon-nampe-1125-l/p,https://carrefourar.vtexassets.com/arquivos/ids/299974/7791843009093_01.jpg?v=1771442601,576026,5420,976.0,976.0
Espumante Finca La Linda extra brut 750 cc.,Finca La Linda,,https://www.carrefour.com.ar/espumante-finca-la-linda-extra-brut-750-cc-704726/p,https://carrefourar.vtexassets.com/arquivos/ids/254641/7791203003433_01.jpg?v=1771436024,704726,100844,2575.0,2575.0
Gaseosa Fanta sin azúcar naranja 354 ml.,Fanta,,https://www.carrefour.com.ar/gaseosa-fanta-sin-azucar-naranja-354-ml-703337/p,https://carrefourar.vtexassets.com/arquivos/ids/275502/7790895004308_E01.jpg?v=1771424891,703337,98656,210.5,210.5
Vino tinto Los arboles red blend 750 cc.,Navarro Correas,,https://www.carrefour.com.ar/vino-tinto-los-arboles-red-blend-750-cc-709992/p,https://carrefourar.vtexassets.com/arquivos/ids/267720/7791250003257_01.jpg?v=1771443351,709992,109268,951.0,951.0
Vino blanco Termidor 2021 1 l.,Termidor,,https://www.carrefour.com.ar/vino-blanco-termidor-2021-1-l-690113/p,https://carrefourar.vtexassets.com/arquivos/ids/251086/7791540053368_01.jpg?v=1771450970,690113,83647,378.18,378.18
Vino blanco chardonnay Fond de Cave 750 cc.,Fond De Cave,,https://www.carrefour.com.ar/vino-blanco-chardonnay-fond-de-cave-750-cc-40587/p,https://carrefourar.vtexassets.com/arquivos/ids/185480/7790240002027_01.jpg?v=1771450179,73831,20909,1755.0,1755.0
Whisky importado Old parr 12 años 750 cc.,Genérico,,https://www.carrefour.com.ar/whisky-importado-old-parr-12-anos-750-cc-17084/p,https://carrefourar.vtexassets.com/arquivos/ids/267584/5000281003160_02.jpg?v=1771411404,17084,117941,9605.0,9605.0
Vino tinto malbec Fuzion 750 cc.,Fuzion,,https://www.carrefour.com.ar/vino-tinto-malbec-fuzion-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/299885/7791728239690_01.jpg?v=1771450668,668808,25451,1490.0,1490.0
Moscato Promesa 750 cc.,Promesa,,https://www.carrefour.com.ar/moscato-promesa-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/268835/7790314072505_01.jpg?v=1771453403,672010,31640,647.0,647.0
Vino tinto cabernet sauvignon Alaris 750 cc.,Alaris,,https://www.carrefour.com.ar/vino-tinto-cabernet-sauvignon-alaris-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/185298/7790240107500_01.jpg?v=1771445556,128063,11498,908.0,908.0
Agua saborizada pomelo sin gas Villa del Sur Levité 1 l.,Villa Del Sur,,https://www.carrefour.com.ar/agua-saborizada-pomelo-sin-gas-villa-del-sur-levite-1-l/p,https://carrefourar.vtexassets.com/arquivos/ids/208544/7798062544718_01.jpg?v=1771444898,633898,71626,205.52,205.52
Agua saborizada Villa del Sur Levité pomelo 500 cc.,Levité,,https://www.carrefour.com.ar/agua-saborizada-villa-del-sur-levite-pomelo-500-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/171632/7798062548686_01.jpg?v=1771414142,399311,11401,213.5,213.5
Vino tinto malbec Zuccardi serie a 750 cc.,Zuccardi,,https://www.carrefour.com.ar/vino-tinto-malbec-zuccardi-serie-a-750-cc-40146/p,https://carrefourar.vtexassets.com/arquivos/ids/300053/7791728021301_01.jpg?v=1771407800,552031,4348,3445.0,3445.0
