producto|marca|descripcion|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
Puré de tomate Salsati cubitos 400 g.|BC||Almacen|https://www.carrefour.com.ar/pure-de-tomate-salsati-cubitos-400-g/p|8094|41529|219.4|219.4
Ketchup Natura 250 cc.|Natura||Almacen|https://www.carrefour.com.ar/ketchup-natura-250-cc/p|548315|4529|219.5|219.5
Caldo Maggi® sabor verdura menos sodio 114 g.|Maggi|"Maggi® Caldo - Sabor VERDURAS

 El caldo MAGGI EQUILIBIRUM sabor VERDURA es la alternativa más rica y saludable para realzar el sabor de todas tus comidas. Tiene un 25% menos sodio que el Caldo regular, y es el caldo con MENOR SODIO DEL MERCADO! También es bajo en grasas totales, bajo en calorías, y no contiene derivados de origen animal

 

Ideal para cocinar salteados, risottos y pastas mucho más sabrosas

Presentación: 1 display de 12 unidades por 9,5g. Total: 114g"|Almacen|https://www.carrefour.com.ar/caldo-maggi-sabor-verdura-menos-sodio-114-g-697386/p|697386|91817|223.5|223.5
Vinagre de alcohol Carrefour 1 l.|Carrefour||Almacen|https://www.carrefour.com.ar/vinagre-de-alcohol-carrefour-1-l/p|105451|18059|180.5|180.5
Puré de papas Maggi cremoso original 125 g.|Maggi||Almacen|https://www.carrefour.com.ar/pure-de-papas-maggi-cremoso-original-125-g-710599/p|710599|114784|366.0|366.0
Fideos mostacholes Matarazzo 3 vegetales 500 g.|Matarazzo||Almacen|https://www.carrefour.com.ar/fideos-mostacholes-matarazzo-3-vegetales-500-g/p|551619|4186|304.0|304.0
Choclo en granos Inalpa amarillo lata 300 g.|Inalpa||Almacen|https://www.carrefour.com.ar/choclo-en-granos-inalpa-amarillo-lata-300-g-695918-695918/p|695918|95919|368.6|368.6
Provenzal 50 g.|Genérico||Almacen|https://www.carrefour.com.ar/provenzal-50-g/p|402730|10473|170.0|170.0
Aceite de girasol Legitimo 900 cc.|Legitimo||Almacen|https://www.carrefour.com.ar/aceite-de-girasol-legitimo-900-cc-700951/p|700951|97457|293.21|293.21
Mostaza Natura 250 g.|Natura||Almacen|https://www.carrefour.com.ar/mostaza-natura-250-g-37830/p|630676|5699|175.0|175.0
Sal gruesa Dos Anclas caja 500 g.|Dos Anclas||Almacen|https://www.carrefour.com.ar/sal-gruesa-dos-anclas-caja-500-g/p|254213|4628|122.42|122.42
Aceite de oliva Carrefour virgen 500 cc.|Carrefour|&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_aceite_oliva.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;|Almacen|https://www.carrefour.com.ar/aceite-de-oliva-carrefour-virgen-500-cc/p|441323|3828|1067.0|1067.0
Fideos codito Favorita hierro 500 g.|Favorita||Almacen|https://www.carrefour.com.ar/fideos-codito-favorita-hierro-500-g-694579/p|694579|87482|130.2|130.2
Pimentón 50 g.|Genérico||Almacen|https://www.carrefour.com.ar/pimenton-50-g/p|402725|8782|150.0|150.0
Mayonesa Hellmanns liviana dp 475 g.|Hellmanns||Almacen|https://www.carrefour.com.ar/mayonesa-hellmanns-liviana-dp-475-g-714807/p|714807|121466|371.0|371.0
Harina Pureza leudante 1 kg.|Pureza||Almacen|https://www.carrefour.com.ar/harina-pureza-leudante-1-kg/p|551286|4240|249.05|249.05
Duraznos amarillos en mitades Carrefour 820 g.|Carrefour||Almacen|https://www.carrefour.com.ar/duraznos-amarillos-en-mitades-carrefour-820-g-31272/p|590818|22891|604.5|604.5
Caldo Maggi® sabor verduras 114 g.|Maggi|"Caldo MAGGI - Sabor VERDURAS. 

Cantidad de unidades: 12 caldos. 

Los caldos MAGGI son la alternativa ideal para todas tus comidas. Incorpóralos en sopas, guisos, verduras, pastas, salsa, arroz y muchos otros platos para darle cuerpo y sabor a tus preparaciones. Logra platos más ricos, saludables y con un nivel muy bajo en sodio.
Proba nuestros caldos MAGGI en todos sus sabores y descubrí que no pueden faltar en tu cocina!"|Almacen|https://www.carrefour.com.ar/caldo-maggi-sabor-verduras-114-g-687516/p|687516|80477|228.5|228.5
Vinagre de alcohol Silva línea gourmet 5 l.|Silva||Almacen|https://www.carrefour.com.ar/vinagre-de-alcohol-silva-linea-gourmet-5-l/p|678531|56437|536.0|536.0
Sal fina Celusal 500 g.|Celusal||Almacen|https://www.carrefour.com.ar/sal-fina-celusal-500-g/p|78495|3500|178.0|178.0
