producto,marca,descripcion,rubro,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Sal fina Celusal paquete 500 g.,Celusal,,Almacen,https://www.carrefour.com.ar/sal-fina-celusal-paquete-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/196629/7790072001014.jpg?v=1771609036,7987,3953,192.5,192.5
Harina de trigo Morixe 0000 1 kg.,Morixe,,Almacen,https://www.carrefour.com.ar/harina-de-trigo-morixe-0000-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/175951/7790199000020_02.jpg?v=1771588902,638363,8814,226.3,226.3
Aceite de girasol Cocinero plus 1.5 l.,Cocinero,,Almacen,https://www.carrefour.com.ar/aceite-de-girasol-cocinero-plus-15-l-22002/p,https://carrefourar.vtexassets.com/arquivos/ids/155432/7790070231659_02.jpg?v=1771589919,667763,22002,1025.0,1025.0
Fideos cintas caseritos Don Vicente 500 g.,Don Vicente,,Almacen,https://www.carrefour.com.ar/fideos-cintas-caseritos-don-vicente-500-g-31203/p,https://carrefourar.vtexassets.com/arquivos/ids/178734/7790070318138_02.jpg?v=1771607921,551502,23957,433.0,433.0
Harina Pureza especial para pizzas 1 kg.,Pureza,,Almacen,https://www.carrefour.com.ar/harina-pureza-especial-para-pizzas-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/196960/7792180004567_11.jpg?v=1771609025,545131,24590,335.29,335.29
Puré de tomate La Campagnola 520 g.,BC,,Almacen,https://www.carrefour.com.ar/pure-de-tomate-la-campagnola-520-g/p,https://carrefourar.vtexassets.com/arquivos/ids/188283/7793360000485_01.jpg?v=1771608401,8088,13222,260.5,260.5
Fideos tallarines Don Vicente 500 g.,Don Vicente,,Almacen,https://www.carrefour.com.ar/fideos-tallarines-don-vicente-500-g-18980/p,https://carrefourar.vtexassets.com/arquivos/ids/178730/7790070318114_01.jpg?v=1771608880,552108,18980,395.0,395.0
Harina de trigo 0000 ultrarefinada Pureza 1 kg.,Pureza,,Almacen,https://www.carrefour.com.ar/harina-de-trigo-0000-ultrarefinada-pureza-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/205215/7792180139313_02.jpg?v=1771609029,678497,49220,216.11,216.11
Caldo de verdura Knorr en cubos 12 uni,Knorr,,Almacen,https://www.carrefour.com.ar/caldo-de-verdura-knorr-en-cubos-12-uni-715280/p,https://carrefourar.vtexassets.com/arquivos/ids/274801/7794000006720_E02.jpg?v=1771608975,715280,122368,249.0,249.0
Puré de tomate Salsati cubitos 400 g.,BC,,Almacen,https://www.carrefour.com.ar/pure-de-tomate-salsati-cubitos-400-g/p,https://carrefourar.vtexassets.com/arquivos/ids/193451/7793360000287_01.jpg?v=1771608323,8094,41529,219.4,219.4
Ketchup Natura 250 cc.,Natura,,Almacen,https://www.carrefour.com.ar/ketchup-natura-250-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/234477/7791866000381_02.jpg?v=1771606899,548315,4529,219.5,219.5
Caldo Maggi® sabor verdura menos sodio 114 g.,Maggi,"Maggi® Caldo - Sabor VERDURAS

 El caldo MAGGI EQUILIBIRUM sabor VERDURA es la alternativa más rica y saludable para realzar el sabor de todas tus comidas. Tiene un 25% menos sodio que el Caldo regular, y es el caldo con MENOR SODIO DEL MERCADO! También es bajo en grasas totales, bajo en calorías, y no contiene derivados de origen animal

 

Ideal para cocinar salteados, risottos y pastas mucho más sabrosas

Presentación: 1 display de 12 unidades por 9,5g. Total: 114g",Almacen,https://www.carrefour.com.ar/caldo-maggi-sabor-verdura-menos-sodio-114-g-697386/p,https://carrefourar.vtexassets.com/arquivos/ids/275728/7891000345566_E01.jpg?v=1771606001,697386,91817,223.5,223.5
Vinagre de alcohol Carrefour 1 l.,Carrefour,,Almacen,https://www.carrefour.com.ar/vinagre-de-alcohol-carrefour-1-l/p,https://carrefourar.vtexassets.com/arquivos/ids/182770/7798033332641_01.jpg?v=1771608481,105451,18059,180.5,180.5
Puré de papas Maggi cremoso original 125 g.,Maggi,,Almacen,https://www.carrefour.com.ar/pure-de-papas-maggi-cremoso-original-125-g-710599/p,https://carrefourar.vtexassets.com/arquivos/ids/308762/8445290367327_01.jpg?v=1771605331,710599,114784,366.0,366.0
Fideos mostacholes Matarazzo 3 vegetales 500 g.,Matarazzo,,Almacen,https://www.carrefour.com.ar/fideos-mostacholes-matarazzo-3-vegetales-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175363/7790070318077_01.jpg?v=1771608402,551619,4186,304.0,304.0
Choclo en granos Inalpa amarillo lata 300 g.,Inalpa,,Almacen,https://www.carrefour.com.ar/choclo-en-granos-inalpa-amarillo-lata-300-g-695918-695918/p,https://carrefourar.vtexassets.com/arquivos/ids/246142/7792350067033_02.jpg?v=1771602989,695918,95919,368.6,368.6
Provenzal 50 g.,Genérico,,Almacen,https://www.carrefour.com.ar/provenzal-50-g/p,https://carrefourar.vtexassets.com/arquivos/ids/201784/2920726100007_02.jpg?v=1771591807,402730,10473,170.0,170.0
Aceite de girasol Legitimo 900 cc.,Legitimo,,Almacen,https://www.carrefour.com.ar/aceite-de-girasol-legitimo-900-cc-700951/p,https://carrefourar.vtexassets.com/arquivos/ids/263188/7798316700808_02.jpg?v=1771608469,700951,97457,293.21,293.21
Mostaza Natura 250 g.,Natura,,Almacen,https://www.carrefour.com.ar/mostaza-natura-250-g-37830/p,https://carrefourar.vtexassets.com/arquivos/ids/234470/7791866004211_02.jpg?v=1771604903,630676,5699,175.0,175.0
Sal gruesa Dos Anclas caja 500 g.,Dos Anclas,,Almacen,https://www.carrefour.com.ar/sal-gruesa-dos-anclas-caja-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/181586/7792900092676_02_nuevopack.jpg?v=1771607082,254213,4628,122.42,122.42
Aceite de oliva Carrefour virgen 500 cc.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_aceite_oliva.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Almacen,https://www.carrefour.com.ar/aceite-de-oliva-carrefour-virgen-500-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/167071/7798141710119_01.jpg?v=1771608883,441323,3828,1067.0,1067.0
Fideos codito Favorita hierro 500 g.,Favorita,,Almacen,https://www.carrefour.com.ar/fideos-codito-favorita-hierro-500-g-694579/p,https://carrefourar.vtexassets.com/arquivos/ids/235829/7790070342058_02.jpg?v=1771608975,694579,87482,130.2,130.2
Pimentón 50 g.,Genérico,,Almacen,https://www.carrefour.com.ar/pimenton-50-g/p,https://carrefourar.vtexassets.com/arquivos/ids/176523/2920725600003_02.jpg?v=1771603726,402725,8782,150.0,150.0
Mayonesa Hellmanns liviana dp 475 g.,Hellmanns,,Almacen,https://www.carrefour.com.ar/mayonesa-hellmanns-liviana-dp-475-g-714807/p,https://carrefourar.vtexassets.com/arquivos/ids/272103/7794000007109_E01.jpg?v=1771608331,714807,121466,371.0,371.0
Harina Pureza leudante 1 kg.,Pureza,,Almacen,https://www.carrefour.com.ar/harina-pureza-leudante-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/196964/7792180004888_11.jpg?v=1771608914,551286,4240,249.05,249.05
Duraznos amarillos en mitades Carrefour 820 g.,Carrefour,,Almacen,https://www.carrefour.com.ar/duraznos-amarillos-en-mitades-carrefour-820-g-31272/p,https://carrefourar.vtexassets.com/arquivos/ids/321631/7798159719722_E02.jpg?v=1771607309,590818,22891,604.5,604.5
Caldo Maggi® sabor verduras 114 g.,Maggi,"Caldo MAGGI - Sabor VERDURAS. 

Cantidad de unidades: 12 caldos. 

Los caldos MAGGI son la alternativa ideal para todas tus comidas. Incorpóralos en sopas, guisos, verduras, pastas, salsa, arroz y muchos otros platos para darle cuerpo y sabor a tus preparaciones. Logra platos más ricos, saludables y con un nivel muy bajo en sodio.
Proba nuestros caldos MAGGI en todos sus sabores y descubrí que no pueden faltar en tu cocina!",Almacen,https://www.carrefour.com.ar/caldo-maggi-sabor-verduras-114-g-687516/p,https://carrefourar.vtexassets.com/arquivos/ids/275710/7891000345528_E01.jpg?v=1771590210,687516,80477,228.5,228.5
Vinagre de alcohol Silva línea gourmet 5 l.,Silva,,Almacen,https://www.carrefour.com.ar/vinagre-de-alcohol-silva-linea-gourmet-5-l/p,https://carrefourar.vtexassets.com/arquivos/ids/228468/7798142741259_02.jpg?v=1771608766,678531,56437,536.0,536.0
Sal fina Celusal 500 g.,Celusal,,Almacen,https://www.carrefour.com.ar/sal-fina-celusal-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/196631/7790072002080_11.jpg?v=1771608977,78495,3500,178.0,178.0
Aceite de girasol Carrefour alto omega pet 900 cc.,Carrefour,,Almacen,https://www.carrefour.com.ar/aceite-de-girasol-carrefour-alto-omega-pet-900-cc-699030-699030/p,https://carrefourar.vtexassets.com/arquivos/ids/246133/7791720025291_02.jpg?v=1771607304,699030,93891,541.0,541.0
Lentejas secas remojadas Carrefour 340 g.,Carrefour,,Almacen,https://www.carrefour.com.ar/lentejas-secas-remojadas-carrefour-340-g/p,https://carrefourar.vtexassets.com/arquivos/ids/188630/7791720003961_01.jpg?v=1771607120,623148,21307,209.0,209.0
Aceite en aerosol Fritolim girasol 120 g.,Cocinero,,Almacen,https://www.carrefour.com.ar/aceite-en-aerosol-fritolim-girasol-120-g-19863/p,https://carrefourar.vtexassets.com/arquivos/ids/196598/7790070228666_11.jpg?v=1771606805,568661,19863,397.6,397.6
Mayonesa Natura 950 g.,Natura,,Almacen,https://www.carrefour.com.ar/mayonesa-natura-950-g/p,https://carrefourar.vtexassets.com/arquivos/ids/234473/7791866001357_02.jpg?v=1771609026,41845,3568,609.0,609.0
Fideos tirabuzones Terrabusi 500 g.,Terrabusi,,Almacen,https://www.carrefour.com.ar/fideos-tirabuzones-terrabusi-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175357/7622300724245_01.jpg?v=1771608974,526465,19246,175.5,175.5
Aceite de oliva Carrefour extra virgen 500 cc.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_aceite_oliva.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Almacen,https://www.carrefour.com.ar/aceite-de-oliva-carrefour-extra-virgen-500-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/167037/7798033338759_01.jpg?v=1771602932,317855,4069,1524.0,1524.0
Fideos fettuccini Don Vicente 500 g.,Don Vicente,,Almacen,https://www.carrefour.com.ar/fideos-fettuccini-don-vicente-500-g-21432/p,https://carrefourar.vtexassets.com/arquivos/ids/178732/7790070318121_01.jpg?v=1771607080,551568,21432,420.08,420.08
Fideos coditos rayados Matarazzo 500 g.,Matarazzo,,Almacen,https://www.carrefour.com.ar/fideos-coditos-rayados-matarazzo-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175372/7790070318619_01.jpg?v=1771606200,568966,4326,225.0,225.0
Harina 0000 Chacabuco 1 kg.,Chacabuco,,Almacen,https://www.carrefour.com.ar/harina-0000-chacabuco-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/311448/7799037060028_02.jpg?v=1771604751,689906,83406,194.0,194.0
Garbanzos secos remojados Carrefour 340 g.,Carrefour,,Almacen,https://www.carrefour.com.ar/garbanzos-secos-remojados-carrefour-340-g/p,https://carrefourar.vtexassets.com/arquivos/ids/188134/7791720003985_01.jpg?v=1771589924,623147,15137,229.0,229.0
Palmitos en trozos Carrefour lata 400 g.,Carrefour,,Almacen,https://www.carrefour.com.ar/palmitos-en-trozos-carrefour-lata-400-g/p,https://carrefourar.vtexassets.com/arquivos/ids/188426/7798141717484_01.jpg?v=1771607232,490209,27681,534.54,534.54
Fideos spaghetti Matarazzo integral 500 g.,Matarazzo,,Almacen,https://www.carrefour.com.ar/fideos-spaghetti-matarazzo-integral-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/178930/7790070320858_01.jpg?v=1771603732,614322,4734,304.0,304.0
Fideos mostachol Favorita hierro 500 g.,Favorita,,Almacen,https://www.carrefour.com.ar/fideos-mostachol-favorita-hierro-500-g-694578/p,https://carrefourar.vtexassets.com/arquivos/ids/235828/7790070342041_02.jpg?v=1771609030,694578,87484,130.2,130.2
Arvejas secas Carrefour remojadas en lata 300 g.,Carrefour,,Almacen,https://www.carrefour.com.ar/arvejas-secas-carrefour-remojadas-en-lata-300-g-696085/p,https://carrefourar.vtexassets.com/arquivos/ids/310946/7791720025321_02.jpg?v=1771608188,696085,89164,102.09,102.09
Sal gruesa Carrefour 1 kg.,Carrefour,,Almacen,https://www.carrefour.com.ar/sal-gruesa-carrefour-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/181562/7798159716479_01.jpg?v=1771605998,576763,24224,153.0,153.0
Harina de trigo Blancaflor leudante 1 kg.,Blancaflor,,Almacen,https://www.carrefour.com.ar/harina-de-trigo-blancaflor-leudante-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/312393/7790070507228_E01.jpg?v=1771607541,556084,44603,308.0,308.0
Vinagre de alcohol Silva línea gourmet 960 cc.,Silva,,Almacen,https://www.carrefour.com.ar/vinagre-de-alcohol-silva-linea-gourmet-960-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/201569/7798142741235_02.jpg?v=1771608498,678530,49156,118.0,118.0
Pure de tomates Alco 520 g.,Alco,,Almacen,https://www.carrefour.com.ar/pure-de-tomates-alco-520-g/p,https://carrefourar.vtexassets.com/arquivos/ids/188412/7798132920473_02.jpg?v=1771605303,669777,35298,146.5,146.5
Jugo de limón Minerva pet 500 cc.,Minerva,,Almacen,https://www.carrefour.com.ar/jugo-de-limon-minerva-pet-500-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/182582/7790070507341_02.jpg?v=1771604229,557794,4325,280.0,280.0
Fideos tallarines Terrabusi 500 g.,Terrabusi,,Almacen,https://www.carrefour.com.ar/fideos-tallarines-terrabusi-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/178917/7622300724368_01.jpg?v=1771608480,532129,20460,175.5,175.5
Lentejas La Abadía bolsa 400 g.,La Abadía,,Almacen,https://www.carrefour.com.ar/lentejas-la-abadia-bolsa-400-g/p,https://carrefourar.vtexassets.com/arquivos/ids/197192/7798049540313_02.jpg?v=1771604907,676658,43062,495.0,495.0
Ketchup Hellmanns doy pack 500 g.,Hellmanns,,Almacen,https://www.carrefour.com.ar/ketchup-hellmanns-doy-pack-500-g-710571/p,https://carrefourar.vtexassets.com/arquivos/ids/307771/7794000006164_E01.jpg?v=1771608191,710571,114746,367.21,367.21
Arroz largo fino selecto Molinos Ala 500 g.,Molinos Ala,,Almacen,https://www.carrefour.com.ar/arroz-largo-fino-selecto-molinos-ala-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/206125/7791120100093_01.jpg?v=1771608687,680338,52897,141.0,141.0
Harina integral Pureza 1 kg.,Pureza,,Almacen,https://www.carrefour.com.ar/harina-integral-pureza-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/179111/7792180134516_02.jpg?v=1771608911,645406,7002,238.29,238.29
Duraznos Carrefour cubeteados 820 g.,Carrefour,,Almacen,https://www.carrefour.com.ar/duraznos-carrefour-cubeteados-820-g-17617/p,https://carrefourar.vtexassets.com/arquivos/ids/188713/7798159716677_01.jpg?v=1771603780,568945,17617,499.0,499.0
Mayonesa clásica Hellmann&apos;s sin tacc doypack 950 g.,Hellmanns,"La Mayonesa Hellmann´s es fuente de vitamina E y contiene Omega 6 Nuestra mayonesa está hecha con aceite de origen sustentable y es 100% de girasol Aderezo a base de huevos de campo La mayonesa Hellmann´s Clásica es Sin Tacc ¿Ya probaste la nueva Mayonesa? ¡Es rica y cremosa! La nueva Mayonesa Hellmanns es ideal para tus sándwiches, ensaladas, carnes, hamburguesas, milanesas, dips y mucho más",Almacen,https://www.carrefour.com.ar/mayonesa-clasica-hellmann-s-sin-tacc-doypack-950-g-694756/p,https://carrefourar.vtexassets.com/arquivos/ids/307793/7794000006058_E01.jpg?v=1771607945,694756,87800,663.0,663.0
Puré de papas instantáneo Carrefour 200 g.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_pure_papas.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Almacen,https://www.carrefour.com.ar/pure-de-papas-instantaneo-carrefour-200-g/p,https://carrefourar.vtexassets.com/arquivos/ids/180294/7791720016169_01.jpg?v=1771608882,633586,9373,477.0,477.0
Choclo cremoso amarillo Inalpa lata 300 g.,Inalpa,,Almacen,https://www.carrefour.com.ar/choclo-cremoso-amarillo-inalpa-lata-300-g-699031/p,https://carrefourar.vtexassets.com/arquivos/ids/243973/7792350067040_02.jpg?v=1771608975,699031,93767,136.9,136.9
Vinagre de alcohol Menoyo 1 l.,Menoyo,,Almacen,https://www.carrefour.com.ar/vinagre-de-alcohol-menoyo-1-l/p,https://carrefourar.vtexassets.com/arquivos/ids/209174/7790130000058_02.jpg?v=1771607242,181618,9505,198.86,198.86
Arroz listo Gallo vegetales 240 g.,Gallo,,Almacen,https://www.carrefour.com.ar/arroz-listo-gallo-vegetales-240-g-30125/p,https://carrefourar.vtexassets.com/arquivos/ids/207555/7790070413758_01.jpg?v=1771603185,660192,24362,360.0,360.0
Gelatina frutilla light Exquisita 25 g.,Exquisita,,Almacen,https://www.carrefour.com.ar/gelatina-frutilla-light-exquisita-25-g/p,https://carrefourar.vtexassets.com/arquivos/ids/312519/7790070409966_E01.jpg?v=1771605999,673423,39318,149.5,149.5
Ajo en polvo La Parmesana 25 g.,La Parmesana,,Almacen,https://www.carrefour.com.ar/ajo-en-polvo-la-parmesana-25-g/p,https://carrefourar.vtexassets.com/arquivos/ids/176469/7796373002446_02.jpg?v=1771604221,262582,7526,95.4,95.4
Esencia de vainilla Alicante pet 100 cc.,Alicante,,Almacen,https://www.carrefour.com.ar/esencia-de-vainilla-alicante-pet-100-cc-690049/p,https://carrefourar.vtexassets.com/arquivos/ids/324445/7790150610305_01.jpg?v=1771604176,690049,83668,204.01,204.01
Aceitunas verdes Nucete descarozadas 80 g.,Nucete,,Almacen,https://www.carrefour.com.ar/aceitunas-verdes-nucete-descarozadas-80-g/p,https://carrefourar.vtexassets.com/arquivos/ids/256487/7792070001065_01.jpg?v=1771608143,153873,24975,160.0,160.0
Maicitos queso horneado Pehuamar bolsa 125 g.,Pehuamar,,Almacen,https://www.carrefour.com.ar/maicitos-queso-horneado-pehuamar-bolsa-125-g/p,https://carrefourar.vtexassets.com/arquivos/ids/316632/7790310984338_E01.jpg?v=1771602367,676517,43629,288.51,288.51
Pate de foie Swift lata 90 g.,Swift,,Almacen,https://www.carrefour.com.ar/pate-de-foie-swift-lata-90-g/p,https://carrefourar.vtexassets.com/arquivos/ids/180254/7790360720382_02.jpg?v=1771607362,8126,17424,157.5,157.5
Arroz largo fino Luchetti 00000 caja 1 kg.,Luchetti,,Almacen,https://www.carrefour.com.ar/arroz-largo-fino-luchetti-00000-caja-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/196232/7790070411921_02.jpg?v=1771605857,673595,37547,315.0,315.0
Maní pelado salado Croppers bolsa 340 g.,Croppers,,Almacen,https://www.carrefour.com.ar/mani-pelado-salado-croppers-bolsa-340-g/p,https://carrefourar.vtexassets.com/arquivos/ids/178433/7790524323886_02.jpg?v=1771608401,672795,36270,431.0,431.0
Lentejas Olinto bolsa 400 g.,Olinto,,Almacen,https://www.carrefour.com.ar/lentejas-olinto-bolsa-400-g/p,https://carrefourar.vtexassets.com/arquivos/ids/194217/7798048720396_02.jpg?v=1771589692,530972,14815,684.0,684.0
Aceite de girasol Legitimo 3 lts.,Legitimo,,Almacen,https://www.carrefour.com.ar/aceite-de-girasol-legitimo-3-lts-700953/p,https://carrefourar.vtexassets.com/arquivos/ids/311985/7798316700822_02.jpg?v=1771608495,700953,97686,936.63,936.63
Salsa lista pizza Knorr 340 g,Knorr,,Almacen,https://www.carrefour.com.ar/salsa-lista-pizza-knorr-340-g/p,https://carrefourar.vtexassets.com/arquivos/ids/322148/7794000003699_E01.jpg?v=1771590023,670231,27649,200.0,200.0
Fideos spaghetti Terrabusi 500 g.,Terrabusi,,Almacen,https://www.carrefour.com.ar/fideos-spaghetti-terrabusi-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/178724/7622300724160_01.jpg?v=1771609025,526461,18976,170.32,170.32
Polenta instantanea Presto Pronta 500 g.,Presto Pronta,,Almacen,https://www.carrefour.com.ar/polenta-instantanea-prestopronta-bolsa-x-500-grs/p,https://carrefourar.vtexassets.com/arquivos/ids/193158/7790580660000_01.jpg?v=1771606819,100841,13003,288.5,288.5
