fecha_relevamiento|producto|marca|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
20230527-190544|Jabón de Tocador Protex Aloe 3x90 g.|Protex|Perfumeria|https://www.carrefour.com.ar/jabon-de-tocador-protex-aloe-3x90-g-461202/p|461202|22959|486.0|486.0
20230527-190544|Hilo Dental Colgate Mint 50m|Colgate|Perfumeria|https://www.carrefour.com.ar/hilo-dental-colgate-mint-50m-427580/p|427580|21516|469.0|469.0
20230527-190544|Emulsión corporal Dermaglós hidratante 300 cc.|Dermaglós|Perfumeria|https://www.carrefour.com.ar/emulsion-corporal-dermaglos-hidratante-300-cc/p|176130|19665|2025.0|2025.0
20230527-190544|Protectores diarios Doncella duo forma 20 uni.|Doncella|Perfumeria|https://www.carrefour.com.ar/protectores-diarios-doncella-duo-forma-20-uni-709472/p|709472|107972|207.68|207.68
20230527-190544|Alcohol etílico al 70 Biacohol 500 cc.|Bialcohol|Perfumeria|https://www.carrefour.com.ar/alcohol-etilico-al-70-biacohol-500-cc-719461/p|719461|141739|528.0|528.0
20230527-190544|Antitranspirante Polyana en aerosol energy woman 150 cc.|Polyana|Perfumeria|https://www.carrefour.com.ar/antitranspirante-polyana-en-aerosol-energy-woman-150-cc-714661/p|714661|121367|452.2|452.2
20230527-190544|Toallitas húmedas con aloe vera Ideal doy pack x 50 uni|Ideal|Perfumeria|https://www.carrefour.com.ar/toallitas-humedas-con-aloe-vera-ideal-doy-pack-x-50-uni/p|671957|31581|286.0|286.0
20230527-190544|Acondicionador Pantene hidratación extrema Pro-V Solutions para pelo dañado 400 ml.|Pantene|Perfumeria|https://www.carrefour.com.ar/acondicionador-pantene-hidratacion-extrema-pro-v-solutions-para-pelo-dañado-400-ml-716393/p|716393|126866|1100.0|1100.0
20230527-190544|Crema para manos Nivea cuidado antiedad 100 cc.|Nivea|Perfumeria|https://www.carrefour.com.ar/crema-para-manos-nivea-cuidado-antiedad-100-cc-708267/p|708267|106528|713.0|713.0
20230527-190544|Crema depilatoria piel normal Veet 25 g.|Veet|Perfumeria|https://www.carrefour.com.ar/crema-depilatoria-piel-normal-veet-25-g/p|671952|31495|368.0|368.0
20230527-190544|Jabón líquido antibacterial Carrefour 250 ml.|Carrefour|Perfumeria|https://www.carrefour.com.ar/jabon-liquido-antibacterial-carrefour-250-ml/p|507696|16090|348.0|348.0
20230527-190544|Protectores diarios Doncella sin perfume 20 u.|Doncella|Perfumeria|https://www.carrefour.com.ar/protectores-diarios-doncella-sin-perfume-20-u/p|581496|26992|216.9|216.9
20230527-190544|Acondicionador Carrefour ceramidas fortaceledor 500 cc.|Carrefour|Perfumeria|https://www.carrefour.com.ar/acondicionador-carrefour-ceramidas-fortaceledor-500-cc/p|643854|13975|287.09|287.09
20230527-190544|Desodorante aerosol men Dufour liberty 155 cc.|Dufour|Perfumeria|https://www.carrefour.com.ar/desodorante-aerosol-men-dufour-liberty-155-cc-684685/p|684685|71955|533.9|533.9
20230527-190544|Acondicionador Elvive dream long 750 cc.|Elvive|Perfumeria|https://www.carrefour.com.ar/acondicionador-elvive-dream-long-750-cc-694725/p|694725|88652|1555.0|1555.0
20230527-190544|Pasta dental Kolynos amarilla 90 g.|Kolynos|Perfumeria|https://www.carrefour.com.ar/pasta-dental-kolynos-amarilla-90-g-717584/p|717584|131520|410.0|410.0
20230527-190544|Protector diario Calipso normal x 20 uni|Calipso|Perfumeria|https://www.carrefour.com.ar/protectores-diarios-calipso-normal-suave-x-20-uni/p|687733|81270|216.0|216.0
20230527-190544|Acondicionador Pantene control caída essentials 400 cc.|Pantene|Perfumeria|https://www.carrefour.com.ar/acondicionador-pantene-control-caida-essentials-400-cc-694437/p|694437|88244|977.0|977.0
20230527-190544|Toallas femeninas Siempre Libre adapt plus uf con alas x 8 uni|Siempre Libre|Perfumeria|https://www.carrefour.com.ar/toallas-femeninas-siempre-libre-adapt-plus-uf-con-alas-x-8-uni-691805/p|691805|84726|466.0|466.0
20230527-190544|Shampoo Sedal ceramidas 340 cc.|Sedal|Perfumeria|https://www.carrefour.com.ar/shampoo-sedal-ceramidas-340-cc-715055/p|715055|121867|575.0|575.0
20230527-190544|Jabón de Tocador Palmolive Aloe y Oliva 150 g.|Palmolive|Perfumeria|https://www.carrefour.com.ar/jabon-de-tocador-palmolive-aloe-y-oliva-150-g-700956/p|700956|97737|224.5|224.5
20230527-190544|Shampoo Pantene hidratación extrema 400 cc.|Pantene|Perfumeria|https://www.carrefour.com.ar/shampoo-pantene-hidratacion-extrema-400-cc-716398/p|716398|126856|1100.0|1100.0
20230527-190544|Cepillo de Dientes Kolynos Doctor Suave 2 uni|Kolynos|Perfumeria|https://www.carrefour.com.ar/cepillo-de-dientes-kolynos-doctor-suave-2-uni-699305/p|699305|94787|357.0|357.0
20230527-190544|Jabón de Tocador antibacterial Protex PRO Hidratación 80 g.|Protex|Perfumeria|https://www.carrefour.com.ar/jabon-de-tocador-antibacterial-protex-pro-hidratacion-80-g-700955/p|700955|97802|195.21|195.21
20230527-190544|Tratamiento capilar Tresemmé hidratante 300 g.|Tresemmé|Perfumeria|https://www.carrefour.com.ar/tratamiento-capilar-tresemme-hidratante-300-g-709734/p|709734|109099|705.25|705.25
20230527-190544|Jabón Líquido Palmolive Decor Series Flor, Cerezo &amp; Rosa 800 ml|Palmolive|Perfumeria|https://www.carrefour.com.ar/jabon-liquido-palmolive-decor-series-flor-cerezo-y-rosa-800-ml-708056/p|708056|106337|1020.0|1020.0
20230527-190544|Toalla femenina delgada seca Ladysoft x 8 uni|Ladysoft|Perfumeria|https://www.carrefour.com.ar/toalla-femenina-delgada-seca-ladysoft-x-8-uni/p|681683|56417|379.0|379.0
20230527-190544|Pasta Dental Colgate Sensitive Pro-Alivio 110 g.|Colgate|Perfumeria|https://www.carrefour.com.ar/pasta-dental-colgate-sensitive-pro-alivio-110-g-548221/p|548221|105397|954.0|954.0
20230527-190544|Cepillo dental Oral-B kids Mickey x 2 uni|Oral B|Perfumeria|https://www.carrefour.com.ar/cepillo-dental-oral-b-kids-mickey-x-2-uni/p|649272|14096|445.0|445.0
